division_name,district_name,block_name,panchayat_name
Purnia,Araria,Araria,Bansbari
Purnia,Araria,Araria,Basantpur
Purnia,Araria,Araria,Belwa
Purnia,Araria,Araria,Gaira
Purnia,Araria,Araria,Gaiyari
Purnia,Araria,Araria,Hariya
Purnia,Araria,Araria,Jhamta
Purnia,Araria,Araria,Madanpur (E)
Purnia,Araria,Araria,Rampur Kodarkatti
Purnia,Araria,Araria,Rampur Mohanpur (E)
Purnia,Araria,Bhargama,Birnagar (E)
Purnia,Araria,Bhargama,Haripur Kala
Purnia,Araria,Bhargama,Jainagar
Purnia,Araria,Bhargama,Kushmaul
Purnia,Araria,Bhargama,Naya Bhargama
Purnia,Araria,Bhargama,Paikpar
Purnia,Araria,Bhargama,Raghunathpur (N)
Purnia,Araria,Bhargama,Raghunathpur (S)
Purnia,Araria,Bhargama,Rampur Aadi
Purnia,Araria,Bhargama,Simarbani
Purnia,Araria,Bhargama,Sirsiya Hanumanganj
Purnia,Araria,Bhargama,Sirsiya Kala
Purnia,Araria,Bhargama,Vishaharia
Purnia,Araria,Forbesganj,Amhara
Purnia,Araria,Forbesganj,Aurahi (W)
Purnia,Araria,Forbesganj,Bhagkohalia
Purnia,Araria,Forbesganj,Bokra
Purnia,Araria,Forbesganj,Halhalia
Purnia,Araria,Forbesganj,Haripur
Purnia,Araria,Forbesganj,Jhirwa Pachhiari (West)
Purnia,Araria,Forbesganj,Jhirwa Purwari (East)
Purnia,Araria,Forbesganj,Khawaspur
Purnia,Araria,Forbesganj,Kirkichia
Purnia,Araria,Forbesganj,Majhua
Purnia,Araria,Forbesganj,Musahari
Purnia,Araria,Forbesganj,Pipra
Purnia,Araria,Forbesganj,Rahikpur Thila Mohan
Purnia,Araria,Jokihat,Bara Istambarar
Purnia,Araria,Jokihat,Chilhaniyan
Purnia,Araria,Jokihat,Dubba
Purnia,Araria,Narpatganj,Anchara
Purnia,Araria,Narpatganj,Babuaan
Purnia,Araria,Narpatganj,Barhara
Purnia,Araria,Narpatganj,Barhepara
Purnia,Araria,Narpatganj,Basmatiya
Purnia,Araria,Narpatganj,Bela
Purnia,Araria,Narpatganj,Dargahiganj
Purnia,Araria,Narpatganj,Fatehpur
Purnia,Araria,Narpatganj,Gokhlapur
Purnia,Araria,Narpatganj,Gorraha Vishanpur
Purnia,Araria,Narpatganj,Manikpur
Purnia,Araria,Narpatganj,Mirdaul
Purnia,Araria,Narpatganj,Nathpur
Purnia,Araria,Narpatganj,Palasi
Purnia,Araria,Narpatganj,Pithoura
Purnia,Araria,Narpatganj,Posdaha
Purnia,Araria,Narpatganj,Ramghat Koshkapur
Purnia,Araria,Narpatganj,Rewahi
Purnia,Araria,Narpatganj,Tamganj
Purnia,Araria,Palasi,Balua Kaliyaganj
Purnia,Araria,Palasi,Dehti (S)
Purnia,Araria,Palasi,Dighli
Purnia,Araria,Palasi,Kujri
Purnia,Araria,Raniganj,Belsara
Purnia,Araria,Raniganj,Bounsi
Purnia,Araria,Raniganj,Chhatiaouna
Purnia,Araria,Raniganj,Ghaghri
Purnia,Araria,Raniganj,Koshkapur (N)
Purnia,Araria,Sikti,Bokantari
Purnia,Araria,Sikti,Kuchaha
Purnia,Araria,Sikti,Thengapur Pipra
Magadh,Arwal,Sonbhadra Banshi Surya,Sonbhdra
Magadh,Arwal,Arwal,Basilpur
Magadh,Aurangabad,Barun,Pipara
Magadh,Aurangabad,Deo,Kharkani
Magadh,Aurangabad,Deo,Hasauli
Magadh,Aurangabad,Deo,Basdiha
Magadh,Aurangabad,Deo,Sargawan
Magadh,Aurangabad,Deo,Bedhna
Magadh,Aurangabad,Deo,Baranda Rampur
Magadh,Aurangabad,Deo,Banua
Magadh,Aurangabad,Deo,Dularey
Magadh,Aurangabad,Deo,Bedhni
Magadh,Aurangabad,Haspura,Purhara
Magadh,Aurangabad,Kutumba,Bharondha
Magadh,Aurangabad,Kutumba,Karmabasantpur
Magadh,Aurangabad,Kutumba,Dumara
Magadh,Aurangabad,Kutumba,Gheura
