id,division_name,district_name,name_of_newly_formed_cooperative_societies,block_name,total_number_of_members_enrolled,total_number_of_male_members_enrolled,total_number_of_female_members_enrolled,date_of_registration,year,whether_Inland_or_Marine_FCS
1,Tirhut,Vaishali,Hajipur Fisheries Cooperative Society,Hajipur,814,789,25,30.12.2010,2010,Inland
2,Tirhut,Vaishali,Bhagwanpur Fisheries Cooperative Society,Bhagwanpur,697,432,265,29.09.2010,2010,Inland
3,Tirhut,Vaishali,Vaishali Fisheries Cooperative Society,Vaishali,600,271,329,29.09.2010,2010,Inland
4,Tirhut,Vaishali,Patedhi Belsar Fisheries Cooperative Society,Patedhi Belsar,356,305,51,29.09.2010,2010,Inland
5,Tirhut,Vaishali,Lalganj Fisheries Cooperative Society,Lalganj,1355,959,396,29.09.2010,2010,Inland
6,Tirhut,Vaishali,Bidupur Fisheries Cooperative Society,Bidupur,127,87,40,29.09.2010,2010,Inland
7,Tirhut,Vaishali,Mahnaar Fisheries Cooperative Society,Mahnaar,135,114,21,29.09.2010,2010,Inland
8,Tirhut,Vaishali,Desari Fisheries Cooperative Society,Desari,184,142,42,29.09.2010,2010,Inland
9,Tirhut,Vaishali,Sahdei Bujurg Fisheries Cooperative Society,Sahdei Bujurg,214,138,76,29.09.2010,2010,Inland
10,Tirhut,Vaishali,Mahua Fisheries Cooperative Society,Mahua,465,386,79,29.09.2011,2011,Inland
11,Tirhut,Vaishali,Jandaha Fisheries Cooperative Society,Jandaha,1413,1089,324,29.09.2010,2010,Inland
12,Tirhut,Vaishali,Chehrakala Fisheries Cooperative Society,Chehrakala,841,628,213,29.09.2010,2010,Inland
13,Tirhut,Vaishali,Patepur Chehrakala Fisheries Cooperative Society,Patepur,1926,1235,691,29.09.2010,2010,Inland
14,Tirhut,Vaishali,Goraul Patepur Chehrakala Fisheries Cooperative Society,Goraul,672,558,114,29.09.2010,2010,Inland
15,Tirhut,Vaishali,Rajapakar Goraul Patepur Chehrakala Fisheries Cooperative Society,Rajapakar,1102,895,207,09.11.2010,2010,Inland
16,Tirhut,Sitamarhi,Dumra Fishermen Cooperative Society,Dumra,1817,1272,545,14.12.2010,2010,Inland
17,Tirhut,Sitamarhi,Sursand Fishermen Cooperative Society,Sursand,1936,1161,775,15.12.2010,2010,Inland
18,Tirhut,Sitamarhi,Parsauni Fishermen Fishermen,Parsauni,1403,896,507,14.12.2010,2010,Inland
19,Tirhut,Sitamarhi,Belsand Fishermen Cooperative Society,Belsand,377,264,113,14.12.2010,2010,Inland
20,Tirhut,Sitamarhi,Mejorganj Fishermen Cooperative Society,Mejorganj,186,131,55,15.12.2010,2010,Inland
21,Tirhut,Sitamarhi,Bathanha Fishermen Cooperative Society,Bathnaha,3353,1500,1853,14.12.2010,2010,Inland
22,Tirhut,Sitamarhi,Nanpur Fishermen Cooperative Society,Nanpur,3136,1690,1446,15.12.2010,2010,Inland
23,Tirhut,Sitamarhi,Sonbarsa Fishermen Cooperative Society,Sonbarsa,3832,1512,2320,14.12.2010,2010,Inland
24,Tirhut,Sitamarhi,Parihar Fishermen Cooperative Society,Parihar,3534,1834,1700,14.12.2010,2010,Inland
25,Tirhut,Sitamarhi,Runni Saidpur Fishermencooperative Society,Runni Saidpur,4647,3160,1487,15.12.2010,2010,Inland
26,Tirhut,Sitamarhi,Bajpatti Fishermen Cooperative Society,Bajpatti,1861,1302,559,15.12.2010,2010,Inland
27,Tirhut,Sitamarhi,Choraut Fishermen Cooperative Society,Choraut,970,582,388,15.12.2010,2010,Inland
28,Tirhut,Sitamarhi,Riga Fishermen Cooperative Society,Riga,2530,1518,1012,14.12.2010,2010,Inland
29,Tirhut,Sitamarhi,Suppi Fishermen Cooperative Society,Suppi,207,109,98,15.12.2010,2010,Inland
30,Tirhut,Sitamarhi,Pupari Fishermen Cooperative Society,Pupari,2025,1215,810,15.12.2010,2010,Inland
31,Tirhut,Sitamarhi,Bokhara Fishermen Cooperative Society,Bokhara,1824,611,1213,15.12.2010,2010,Inland
32,Tirhut,Sitamarhi,Bairganiya Fishermen Cooperative Society,Bairganiya,558,450,108,15.12.2010,2010,Inland
