division_name,block_name,panchayat_name,total_rakba_in_hectares,total_jamarashi_in_lakh_rupees,jalkars_located_in_multiple_panchayat,district_name,jalkar_name
Bhagalpur,Shambhuganj,Kaswa,0.744,0.01321,Baidpur,Banka,Dighhi Pokhar
Munger,Bakhri,Chakchanarpat (Bakhri East),42.816,0.525,"Ratan,Chakchanarpat (Bakhri East)",Begusarai,Chanha Nadi Babhain
Munger,Balia,Parmanandpur,6.0,1.54,"Bhagatpur,Manserpur,Paharpur,Parmanandpur,Bhawanandpur,Tajpur",Begusarai,Majidpur Pargana Jalkar
Munger,Mansurchak,Samsa- 1,1.1,0.03654,"Samsa- 1,Samsa- 2",Begusarai,Samasachair Nala
Munger,Sahebpur Kamal,Sadpur (Eest),18.0,0.26,"Sadpur (Eest),Sadpur (West)",Begusarai,Sadpur Naya Moin
Munger,Sahebpur Kamal,Sadpur (West),30.0,0.35,"Sadpur (Eest),Sadpur (West)",Begusarai,Boria Jalkar
Bhagalpur,Kahalgaon,Parashathdih (Shankarpur Khawas),100.0,0.75,"Kodwar,Ghogha",Bhagalpur,Ghoga Nala Jalkar Lohari Sahit
Bhagalpur,Kahalgaon,Bholsar,14.756,0.5,Pakkisarai,Bhagalpur,Khoka Nala Jalkar (Parmanandpur Mauja Se Aamapur Mauja Ke Pakartalla Gaon Tak)
Bhagalpur,Kahalgaon,Bholsar,26.856,0.6,"Pakkisarai,Ekchari",Bhagalpur,"Gairua Bhaina Jalkar (Parmandpur, Bholsar, Sundarpur)"
Bhagalpur,Kahalgaon,Mathurapur,200.0,0.69,Mohanpur Gogatta,Bhagalpur,Bhaurang Jalkar
Bhagalpur,Goradih,Bisanpur- Jicho,2.0,0.03045,Manchhipur,Bhagalpur,Jamasi Jola Nadi
Bhagalpur,Goradih,Agarpur,0.628,0.00735,Manchhipur,Bhagalpur,Dighhi Pokhar
Bhagalpur,Goradih,Manchhipur,4.0,0.01155,Khutaha,Bhagalpur,Kichaniya Nadi
Bhagalpur,Ismailpur,Ishmailpur East Bhitha,60.0,0.15015,Ishmailpur West Bhitha,Bhagalpur,Ismailpur Jalkar
Bhagalpur,Jagdishpur,Bhawanipur Desri,0.5,0.01575,Baluachak Puraini,Bhagalpur,Bhawanipur Resdidich (Desaridich)
Bhagalpur,Jagdishpur,Bhawanipur Desri,0.8,0.0126,Jagdishpur,Bhagalpur,Angari Jalkar
Bhagalpur,Jagdishpur,Chandpur,2.8,0.01155,"Bhawanipur Desri,Sonuchak-Puraini",Bhagalpur,Chandpur Nadi Jalkar
Bhagalpur,Jagdishpur,Chandpur,2.4,0.01365,"Jagdishpur,Chandpur,Purani North",Bhagalpur,Chand River
Bhagalpur,Jagdishpur,Baluachak Puraini,0.5,0.0147,"Sanholi,Baijani",Bhagalpur,Kokra River
Bhagalpur,Jagdishpur,Sanholi,2.0,0.01155,"Purani North,Baluachak Puraini,Sanholi,Baijani",Bhagalpur,Khalkhaliya Nadi Jalkar Vidha Nadi (Vidyanandi)
Bhagalpur,Jagdishpur,Sanholi,0.4,0.00945,"Purani North,Baluachak Puraini,Sanholi,Baijani",Bhagalpur,Khalkhaliya Nadi Jalkar Ibrahimpur
Bhagalpur,Jagdishpur,Sanholi,6.0,0.0336,"Purani North,Baluachak Puraini,Baijani",Bhagalpur,Khalkhaliya Nadi Jalkar Mustafachak
Bhagalpur,Jagdishpur,Sanholi,0.15,0.01365,"Purani North,Baluachak Puraini,Baijani",Bhagalpur,Khal Nadi (Khalbaliya)
Bhagalpur,Kharik,Raghopur,22.66,0.231,"Akidatpur,Khairpur",Bhagalpur,Brahm Sthan Laxmipur Jalkar
Bhagalpur,Narayanpur,Raipur,1.284,0.3045,Bhawanipur,Bhagalpur,Makhnaadhar Jalkar
Bhagalpur,Narayanpur,Nagarpara East,109.6,1.176,"Nagarpara South,Nagarpara East,Jaipurchuhar West,Singhpur East",Bhagalpur,Narayanpur Kol Narayanpur Anchal
Bhagalpur,Nathnagar,Bhatauria,0.68,0.0126,Rampur Khurd,Bhagalpur,Sonvarsha Jalkar
Bhagalpur,Nathnagar,Nisf Ambe,2.24,0.01995,Rampur Khurd,Bhagalpur,"Ganga Prasad Baitha, Ganga Prasad"
Bhagalpur,Naugachhia,Dholbajja,10.484,0.273,Punama Pratapnagar,Bhagalpur,Tiljugga Dhar
Bhagalpur,Pirpainti,Sri Matpur Hajur Nagar,100.0,1.302,"Srimatpur Gopalichak,Pirpainti",Bhagalpur,Singhiya Bhorang Nala Jalkar
Bhagalpur,Pirpainti,Sri Matpur Hajur Nagar,1.2,0.1386,"Srimatpur Gopalichak,Pirpainti",Bhagalpur,Margang Jalkar
Bhagalpur,Shahkund,Khulni,8.804,0.042,"Belthu,Makandpur",Bhagalpur,Chandan Kiranpur Pokhar
Bhagalpur,Sonhaula/Sanhoula,Bora Pathakdih,1.496,0.0225,"Amdanda,Madhopur Bathani",Bhagalpur,Girua Nadi Jalkar (Chakhmaja)
Bhagalpur,Sonhaula/Sanhoula,Bora Pathakdih,0.736,0.01,"Tadar,Amdanda,Madhopur Bathani",Bhagalpur,Girua Nadi Jalkar (Bhakanthu)
Bhagalpur,Sultanganj,Ganganiya,0.916,0.1848,"Kamarganj,Asiyachak",Bhagalpur,Belharni Nadi Ganganiya
Bhagalpur,Sultanganj,Masadi,0.7,0.08085,"Bhirkhurd,Abzuganj",Bhagalpur,Masdi Gadha Jalkar
Bhagalpur,Sultanganj,Kumaitha,0.38,0.0273,Karhariya,Bhagalpur,Kitta Bandh Kumaitha
Bhagalpur,Sultanganj,Khanpur,0.344,0.0378,Kathara,Bhagalpur,Jhonz Nadi Amba
Bhagalpur,Sultanganj,Khanpur,3.98,0.05775,Karhariya,Bhagalpur,Gahira Nadi Gahira
Bhagalpur,Sultanganj,Khanpur,1.984,0.0462,Kathara,Bhagalpur,Dahira Nadi Daulatpur
Bhagalpur,Sultanganj,Mirhatti,3.56,0.0126,Khanpur,Bhagalpur,Chandan Nadi Mirhatti
Bhagalpur,Sultanganj,Mahesi,0.22,0.0399,Mirhatti,Bhagalpur,Chandan Nadi Maheshi
Bhagalpur,Sultanganj,Mahesi,3.6,0.1848,English-Chich Ron(Akwarnigar),Bhagalpur,Samna Bahari Khanta Jatak Jalhari
Patna,Arrah/Ara,Agarsanda,1.234817814,0.078836625,Dhamar,Bhojpur,Pavatbhas Nadi
Patna,Arrah/Ara,Jamira,3.619433198,0.0500976,Hasanpura,Bhojpur,Jamira Nadi
Patna,Arrah/Ara,Hasanpura,0.352226721,0.004361175,Jamira,Bhojpur,Piprahiya Nadi
Patna,Arrah/Ara,Gothahula,0.24291498,0.035784,"Jamira,Arrah/Ara Nagar Nigam",Bhojpur,Karwa Nadi
Patna,Arrah/Ara,Gothahula,0.967611336,0.043052625,"Jamira,Arrah/Ara Nagar Nigam",Bhojpur,Gothaula Nadi
Patna,Barhara,Semria Pararia(Pcht),1.020242915,0.0572544,"Barhara,Ekauna",Bhojpur,Gobri Nadi
Patna,Behea/Bihiyan,Shivpur,0.303643725,0.007939575,"Kamariyan,Osai,Fingi",Bhojpur,Khrauni Nadi
Patna,Behea/Bihiyan,Tiyar,2.975708502,0.007212713,"Majhauli,Fingi,Katya",Bhojpur,Mairath Nadi
Patna,Behea/Bihiyan,Kamariyan,1.441295547,0.0129717,"Majhauli,Fingi",Bhojpur,Kamariya Nadi
Patna,Behea/Bihiyan,Kamariyan,0.141700405,0.015767325,Shivpur,Bhojpur,Yogivir Nadi
Patna,Behea/Bihiyan,Godhar Rudarnagar,0.809716599,0.0129717,"Kamariyan,Ghagha",Bhojpur,Dubauli Nadi
Patna,Behea/Bihiyan,Osai,0.546558704,0.016494188,Godhar Rudarnagar,Bhojpur,Ausai Nadi
Patna,Behea/Bihiyan,Majhauli,0.809716599,0.021526313,Shivpur,Bhojpur,Majhauli Nadi
Patna,Behea/Bihiyan,Fingi,1.117408907,0.028683113,Behea/Bihiyan Nagar Panchayat,Bhojpur,Jamua Bibi Sahayak Nadi
Patna,Shahpur,Gara,0.587044534,0.1145088,"Bharuli,Bohanpur",Bhojpur,Gaura Charghat Nadi
Patna,Udwant Nagar,Chotti Sasaram,3.340080972,0.0572544,Asni,Bhojpur,Chhotki Sasaram Nadi
Patna,Udwant Nagar,Masarah,2.518218623,0.071568,Bampali,Bhojpur,Masadh Nadi
Patna,Udwant Nagar,Asni,1.441295547,0.0214704,Bampali,Bhojpur,Asani Nadi
Patna,Brahampur,Gayaghat,164.0,7.176,"Gayaghat,Bairia,Harnathpur,Mahuar,North Nainijor",Buxar,Nainijor Bhagad Tauji Sankhya 1347
Patna,Itadhi,Kukudha,2.0,0.01518,"Hakimpur,Kukudha,Bijhaura",Buxar,Noni Nadi
Patna,Itadhi,Atrauna,4.0,0.08418,"Atrauna,Itadhi Nagar Panchayat",Buxar,Khatiba Nadi
Patna,Itadhi,Barkagaon,4.0,0.02889,"Barkagaon,Harpur (Jaipur),Basao Kala",Buxar,Thora Nadi 01
Patna,Itadhi,Harpur (Jaipur),0.8,0.03588,"Indaur,Unwas,Harpur (Jaipur)",Buxar,Kochani Nadi
Patna,Itadhi,Harpur (Jaipur),4.0,0.02889,"Basudhar,Harpur (Jaipur)",Buxar,Thora Nadi 02
Patna,Itadhi,Harpur (Jaipur),0.8,0.01794,"Harpur (Jaipur),Basao Kala",Buxar,Bhirkiri Nadi
Patna,Simri/Cimari,Parari,258.12,3.312,"Majhwari,Parari,Kazipur",Buxar,Koliya Bansgitiya Dah
Darbhanga,Baheri,Chakwa Bharwari,0.336032389,0.042,Hathauri South,Darbhanga,Machhli Sairat Nadi Bharwari
Darbhanga,Keoti Runway,Asaraha,0.170040486,0.013,Jalwara,Darbhanga,Machhli Sairat Jalwara
Darbhanga,Keoti Runway,Dighiyar,12.14574899,0.65,Lalganj,Darbhanga,Badh Pokhar Kewati Dighiyar
Darbhanga,Singhwara,Hariharpur East,17.97165992,0.032,Hariharpur West,Darbhanga,Hariharpur Nadi Hariharpur
Tirhut,Chirariya,Mahuawa East,0.96,0.07504,Mahuawa West,Purbi Champaran,Mahuawa Jalkar
Saran,Bhorey,Kalyanpur,0.0,0.0,"Kalyanpur,Husepur,Jaghtauli",Gopalganj,Barhi Nadi (Navka Tola Se Chhitoji Tak)
Saran,Bhorey,Kalyanpur,0.0,0.0,"Kalyanpur,Husepur,Jaghtauli",Gopalganj,Barhi Nadi (Kalyanpur Se Vishrampur Tak)
Saran,Kuchaikote,Salehpur,13.36032389,0.1225,"Salehpur,Tola Sipaya,Matihniyakala,Sasamusa,Khajuri,Matihaniyatiwari",Gopalganj,Chhadan Nadi Se Daha Nahar Ka Udgam Sthal Se 3 Meel Doori Tay Kar Sasamusa NH0028 Tak
Patna,Bhabua,Akhlaspur,5.32,0.01224,"Akhlaspur,Kohari,Sikthi,Sion",Kaimur(Bhabua),Kukanhiya Nadi Shivpur Se Darouli Tak
Patna,Bhabua,Akhlaspur,4.79,0.01152,"Akhlaspur,Meeun",Kaimur(Bhabua),Kukanhiya Nadi Semariya Se Dharmapura Tak
Patna,Bhagwanpur,Bhagwanpur,2.5,0.03312,Parhauti,Kaimur(Bhabua),Suara Nadi (Khiri Se Bhairpur Tak)
