id,sector_name,division_name,district_name,year,source,annual_fish_production_target_from_all_aquatic_resources_Thousan,annual_revenue_collected_against_the_target_Lakh_Rupees,annual_revenue_collection_target_from_jalkar_settlement_Lakh_Rup,current_fish_exported_to_other_states_Thousand_Metric_Tons,current_fish_imported_from_other_states_Thousand_Metric_Tons,current_fish_production_Thousand_Metric_Tons,fish_seed_fingerling_current_production_Number,fish_seed_fry_current_production_Number,fish_seed_production_fry_annual_target_Number,fish_seed_production_spawn_current_count_Number,fish_seed_yearling_current_production_Number
1,Animal & Fisheries Department,Bhagalpur,Banka,2023,Directorate of Fisheries,14.85,19.37,26.53,2.55,0.29,14.75,808.84,1178.0,812.67,3590.0,0.0
2,Animal & Fisheries Department,Bhagalpur,Banka,2024,Directorate of Fisheries,15.87,80.84,33.24,2.4,1.12,15.489,122.09,555.96,948.0,3233.63,2.27
3,Animal & Fisheries Department,Bhagalpur,Bhagalpur,2023,Directorate of Fisheries,20.31,48.89,45.35,4.9,3.25,20.28,190.0,360.0,295.0,3088.0,0.0
4,Animal & Fisheries Department,Bhagalpur,Bhagalpur,2024,Directorate of Fisheries,21.7,50.46,45.51,5.08,1.25,21.85,139.0,354.0,344.46,2565.0,5.0
5,Animal & Fisheries Department,Darbhanga,Darbhanga,2023,Directorate of Fisheries,84.28,211.56,176.77,0.03,0.45,82.75,17.46,94.5,1153.0,200.0,0.2
6,Animal & Fisheries Department,Darbhanga,Darbhanga,2024,Directorate of Fisheries,90.0,197.81,214.51,0,0.0,88.281,875.0,1120.0,1346.0,1500.0,80.05
7,Animal & Fisheries Department,Darbhanga,Madhubani,2023,Directorate of Fisheries,101.66,225.68,217.47,0.59,0.58,91.78,2006.88,4502.0,4518.0,22510.0,4.85
8,Animal & Fisheries Department,Darbhanga,Madhubani,2024,Directorate of Fisheries,108.65,164.57,249.57,0.76,0.83,110.61,2091.99,5229.99,5271.0,26150.01,1.46
9,Animal & Fisheries Department,Darbhanga,Samastipur,2023,Directorate of Fisheries,23.91,102.26,88.26,0.16,0.33,23.8,51.45,585.0,273.0,1368.0,1.25
10,Animal & Fisheries Department,Darbhanga,Samastipur,2024,Directorate of Fisheries,25.55,102.68,92.94,0.63,0.95,28.32,91.16,502.5,318.0,1007.0,0.41
11,Animal & Fisheries Department,Kosi,Madhepura,2023,Directorate of Fisheries,6.08,30.53,31.44,0,0.77,6.27,14.0,65.0,33.0,105.0,0.0
12,Animal & Fisheries Department,Kosi,Saharsa,2023,Directorate of Fisheries,13.03,30.73,46.35,0.04,0.01,13.036,51.0,83.0,90.0,0.0,18.0
13,Animal & Fisheries Department,Kosi,Supaul,2023,Directorate of Fisheries,18.79,15.69,17.95,0,0.0,18.0,62.75,125.5,131.0,0.0,50.2
14,Animal & Fisheries Department,Magadh,Arwal,2023,Directorate of Fisheries,1.57,5.27,5.29,0,0.19,1.59,10.0,33.5,33.0,0.0,0.0
15,Animal & Fisheries Department,Magadh,Arwal,2024,Directorate of Fisheries,1.68,5.66,6.09,0,0.05,1.7,14.4,38.8,39.0,0.0,0.0
16,Animal & Fisheries Department,Magadh,Aurangabad,2023,Directorate of Fisheries,12.1,27.87,23.62,0,0.32,11.8975,29.0,124.0,96.0,470.0,1.0
17,Animal & Fisheries Department,Magadh,Aurangabad,2024,Directorate of Fisheries,12.93,25.21,27.34,0,0.08,13.561,55.0,125.0,112.0,310.0,0.0
18,Animal & Fisheries Department,Magadh,Gayaji,2023,Directorate of Fisheries,10.8,19.61,14.37,0,0.02,10.81,32.0,60.0,59.0,300.0,1.36
19,Animal & Fisheries Department,Magadh,Gayaji,2024,Directorate of Fisheries,11.54,22.69,20.41,0,0.02,11.75,35.251,66.04,69.0,299.73,3.212
20,Animal & Fisheries Department,Magadh,Jehanabad,2023,Directorate of Fisheries,1.58,14.09,16.6,0,0.02,1.58,15.01,15.02,10.0,35.01,0.0
21,Animal & Fisheries Department,Magadh,Jehanabad,2024,Directorate of Fisheries,1.7,13.41,18.61,0,0.02,1.785,16.03,16.03,12.0,34.23,0.0
22,Animal & Fisheries Department,Magadh,Nawada,2023,Directorate of Fisheries,6.47,34.58,17.0,0,0.01,6.47,16.32,26.36,26.0,65.01,6.9
23,Animal & Fisheries Department,Magadh,Nawada,2024,Directorate of Fisheries,6.91,63.09,26.81,0,0.01,9.04,23.55,31.09,31.0,67.47,16.87
24,Animal & Fisheries Department,Munger,Begusarai,2023,Directorate of Fisheries,35.17,38.32,57.47,0.03,3.24,35.25,297.38,180.12,178.0,174.28,0.0
25,Animal & Fisheries Department,Munger,Begusarai,2024,Directorate of Fisheries,37.58,66.64,73.26,0.4,2.84,36.12,228.0,349.0,208.0,1574.0,0.0
26,Animal & Fisheries Department,Munger,Jamui,2023,Directorate of Fisheries,3.48,3.63,13.75,0.08,0.6,3.4,2.77,6.0,13.0,12.0,0.0
27,Animal & Fisheries Department,Munger,Jamui,2024,Directorate of Fisheries,3.72,23.78,20.53,0.3,0.5,4.525,8.043,4.0,15.0,0.0,0.0
28,Animal & Fisheries Department,Munger,Khagaria,2023,Directorate of Fisheries,36.38,51.81,73.52,3.51,0.31,36.51,84.5,180.0,143.0,360.0,44.0
29,Animal & Fisheries Department,Munger,Khagaria,2024,Directorate of Fisheries,38.88,58.36,93.74,4.09,0.9,38.88,148.0,240.0,167.0,439.0,90.0
30,Animal & Fisheries Department,Munger,Lakhisarai,2023,Directorate of Fisheries,8.37,22.03,31.35,0,1.85,7.588,19.17,47.48,46.0,0.0,0.0
31,Animal & Fisheries Department,Munger,Lakhisarai,2024,Directorate of Fisheries,8.94,15.62,30.92,0,0.44,8.944,9.957,59.37,54.0,0.0,1314.6
32,Animal & Fisheries Department,Munger,Munger,2023,Directorate of Fisheries,12.16,10.51,12.97,0,0.74,11.66,46.06,64.25,66.0,212.58,1.84
33,Animal & Fisheries Department,Munger,Munger,2024,Directorate of Fisheries,12.99,17.06,17.61,0,3.88,12.986,49.92,82.24,77.0,15.0,0.0
34,Animal & Fisheries Department,Munger,Sheikhpura,2023,Directorate of Fisheries,4.24,43.2,52.78,0,1.25,4.159,22.46,18.01,20.0,30.0,11.9
35,Animal & Fisheries Department,Munger,Sheikhpura,2024,Directorate of Fisheries,4.53,33.6,42.34,0,0.51,4.3,23.0,20.4,24.0,861.95,12.1
36,Animal & Fisheries Department,Patna,Bhojpur,2023,Directorate of Fisheries,17.58,52.56,74.0,0.14,0.14,17.58,32.456,58.58,86.0,0.29,6.55
37,Animal & Fisheries Department,Patna,Bhojpur,2024,Directorate of Fisheries,18.8,51.38,91.1,1.29,2.32,18.99,36.82,52.075,100.0,107.4,28.21
38,Animal & Fisheries Department,Patna,Buxar,2023,Directorate of Fisheries,8.79,19.63,37.42,0.1,0.36,8.79,11.25,38.0,40.0,145.0,1.0
39,Animal & Fisheries Department,Patna,Buxar,2024,Directorate of Fisheries,9.4,28.82,47.04,0,0.03,9.871,45.0,46.24,46.0,0.0,0.0
40,Animal & Fisheries Department,Patna,Kaimur(Bhabua),2023,Directorate of Fisheries,19.1,36.66,47.88,0.07,0.02,19.1,100.0,120.0,125.22,350.0,82.0
41,Animal & Fisheries Department,Patna,Kaimur(Bhabua),2024,Directorate of Fisheries,20.41,38.5,56.5,0.02,0.01,20.387,114.295,148.331,146.0,305.04,62.58
